"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",22216,22960,23706,24693,25582,26421,26958,26217,26188,27187,29457,30214,31214,33021
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",19466,20137,20766,21655,22535,23250,23696,22829,22718,23636,25955,26733,27656,29433
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",80,68,111,158,154,189,157,157,186,160,251,223,258,"(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)",29,26,40,"(D)","(D)","(D)","(D)","(D)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)",3,5,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(L)","(D)","(D)","(L)",1,"(D)","(D)","(D)","(D)","(D)","(L)","(L)","(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",1175,1098,1095,1169,1245,1245,1237,1124,1062,997,1055,1186,1106,1271
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",5404,5810,5800,6020,6085,6285,6269,5465,5655,6356,7991,8081,8516,8968
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",3646,4069,4074,4241,4140,"(D)",4126,3527,2164,2743,3391,3983,4130,4469
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",17,26,"(D)",23,24,20,22,19,18,28,37,39,38,"(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",532,660,641,642,663,671,639,617,615,659,697,783,791,"(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",127,132,"(D)","(D)",191,"(D)","(D)",226,81,"(D)","(D)",177,186,"(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",364,372,384,398,403,387,380,429,301,350,379,383,371,"(NA)"
"45780","Toledo, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",222,211,220,225,251,238,245,242,187,214,276,272,291,"(NA)"
