"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",3,4,5,4,3,3,4,5,6,9,13,15,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing",178,151,162,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",62,64,68,58,61,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)",173,175,141,177,"(D)",249,310,"(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)",485,511,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",754,774,717,833,847,941,991,1055,946,995,1008,1084,1156,1262
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",701,706,721,695,727,776,761,729,706,723,728,754,845,906
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",218,225,210,231,276,308,310,339,295,324,336,336,470,504
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation",6,7,9,9,"(D)",7,8,10,10,10,10,11,"(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",11,10,11,11,12,"(D)","(D)","(D)",12,12,13,15,15,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",110,"(D)",100,109,115,149,154,169,125,131,"(D)",138,252,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",4,4,5,"(D)",5,6,6,7,7,"(D)",7,7,7,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",73,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)",27,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",104,108,109,"(D)","(D)",127,134,150,144,138,126,123,161,156
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)",6,6,7,6,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",8,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",122,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)",3,3,8,6,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",630,730,827,794,883,913,1171,1260,1295,1279,1285,1208,1266,1225
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",243,294,357,345,415,413,447,488,522,513,457,444,468,459
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",158,198,188,154,170,177,"(D)","(D)","(D)","(D)",236,308,326,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
