"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",15417,16429,17972,18846,20100,20622,21204,21539,21590,21567,22700,23193,23786,24870
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",13911,14842,16214,17018,18149,18594,19034,19257,19331,19173,20368,20858,21449,22504
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",22,24,25,26,22,25,17,15,11,12,10,11,11,12
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",10,10,10,11,6,6,2,3,"(L)","(L)","(L)","(L)","(L)","(NA)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",12,13,15,16,16,18,15,12,11,12,10,11,11,"(NA)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",5,6,7,7,8,10,12,13,11,11,11,23,16,16
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",5,6,7,7,8,10,12,13,11,11,11,23,16,"(NA)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",157,126,"(D)","(D)",139,106,114,124,144,158,162,131,138,"(D)"
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",678,700,726,807,836,842,780,692,649,632,657,681,733,774
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",2724,2845,3221,3114,3215,3307,3320,2944,2965,3220,3409,3288,3280,3408
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",2045,2217,2633,2599,2711,2761,2749,2399,2390,2659,2887,2771,2769,2875
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",13,17,10,12,13,12,11,10,10,10,13,15,15,"(NA)"
