"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",23236,23516,25410,26587,29073,31343,33819,33973,32425,33206,33314,34463,34865,35717
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",18705,18788,20419,21312,23396,25325,27515,27225,25877,26050,25940,26766,27112,27898
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",27,"(D)","(D)","(D)",58,58,38,33,33,29,41,34,37,37
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",17,27,38,49,52,50,30,26,26,22,34,27,30,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",10,"(D)","(D)","(D)",6,8,8,8,7,7,7,7,7,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",218,"(D)","(D)","(D)",466,655,743,761,749,1008,1292,1279,1233,1291
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",1,2,2,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",214,"(D)","(D)","(D)",462,651,739,752,746,"(D)",1274,1259,1212,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining",4,3,4,3,4,4,4,9,3,"(D)",16,18,20,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",457,420,491,628,615,709,724,705,787,841,873,839,770,978
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",1209,1210,1314,1548,1832,2131,2181,1895,1453,1302,1238,1238,1344,1298
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",4223,3390,3977,3252,3315,3358,4168,3937,3391,3567,3391,3731,3503,3502
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",4004,"(D)","(D)","(D)",3106,3096,3830,3578,3018,3231,3077,3413,3209,3192
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",22,21,28,34,43,44,40,36,29,20,16,18,20,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",77,70,86,97,110,144,179,122,74,73,66,57,72,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",15,13,7,8,3,7,23,12,12,9,17,17,20,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",176,204,177,190,182,180,189,183,162,155,156,186,195,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",73,89,110,110,144,150,164,128,106,140,132,127,136,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",884,1181,1430,1058,566,503,480,483,413,"(D)","(D)","(D)",496,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",38,65,64,51,59,77,96,88,88,86,73,76,63,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)",17,17,20,"(D)","(D)","(D)","(D)","(D)",9,16,26,14,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2045,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",30,18,18,16,18,19,17,13,10,9,7,9,10,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",128,140,150,110,121,129,142,120,131,132,125,110,137,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",219,"(D)","(D)","(D)",209,262,338,359,373,335,314,317,293,310
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing",68,69,68,56,"(D)",77,105,132,125,110,101,109,111,"(NA)"
"46060","Tucson, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)",3,2,2,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
