"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",16692,17529,17973,18627,19895,20363,20362,20522,19654,20268,21177,21521,22582,23804
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",14899,15616,15994,16571,17764,18138,18017,18107,17249,17898,18744,19119,20163,21298
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",327,308,236,275,374,281,292,207,312,271,239,"(D)",438,406
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",279,260,183,217,311,202,216,131,228,176,135,294,299,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",48,48,53,58,63,78,76,75,83,94,104,"(D)",139,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",84,93,63,73,90,96,107,96,49,47,62,"(D)",129,107
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)",53,56,18,23,36,36,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",27,25,24,29,29,36,"(D)","(D)","(D)","(D)",26,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",168,197,200,200,199,"(D)",306,336,332,347,339,"(D)",319,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",1149,1151,1238,1438,1620,1703,1705,1416,1134,1025,1041,1119,1232,1292
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",2686,2633,2690,2510,2626,2684,2682,2749,2852,2724,2951,2833,2985,3169
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",1800,1673,1638,1499,1553,1464,1394,"(D)",1437,1392,1604,1366,1490,1478
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",37,34,39,41,46,42,41,38,27,27,35,"(D)",34,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",67,64,67,73,81,78,63,54,43,45,32,"(D)",36,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",5,8,10,11,13,14,7,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",70,64,55,58,62,64,77,83,81,82,98,"(D)",101,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",144,111,119,163,235,212,220,212,167,177,200,"(D)",193,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",869,871,845,649,684,609,536,602,567,569,768,"(D)",605,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",22,7,14,22,21,22,26,28,23,26,27,"(D)",16,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",12,13,"(D)",9,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",23,25,30,30,36,41,38,35,33,31,32,"(D)",37,"(NA)"
