"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",539,456,418,410,335,338,343,355,473,416,393,"(D)",458,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",886,960,1052,1011,1072,1221,1288,"(D)",1415,1331,1347,1467,1494,1692
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing",717,791,872,821,894,1024,1052,1057,1207,1119,1077,1194,1173,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills",10,8,7,9,6,6,4,4,5,10,6,7,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",13,12,14,"(D)","(D)","(D)",12,"(D)","(D)","(D)",19,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,4,"(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",50,50,46,45,46,47,53,46,44,44,43,"(D)",45,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)",28,16,46,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",46,42,56,71,45,57,56,63,64,75,126,"(D)",135,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing",45,50,52,45,42,57,62,61,70,61,61,"(D)",48,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",688,723,757,860,1030,1116,1185,1216,1053,1139,1237,1333,1384,1552
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",1427,1492,1535,1592,1652,1697,1652,1583,1495,1527,1587,1684,1803,1913
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",220,233,231,259,262,"(D)",304,305,279,309,360,"(D)",398,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(L)","(L)","(L)","(L)",2,"(L)","(L)","(D)","(D)","(D)",41,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)",1,1,1,1,1,"(L)","(L)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",86,96,97,109,103,112,122,121,106,125,144,"(D)",150,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",38,41,34,33,34,39,41,45,45,47,52,"(D)",72,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)",73,"(D)","(D)","(D)","(D)",105,111,98,"(D)","(D)",108,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",22,23,22,30,28,30,32,27,29,31,17,"(D)",20,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",593,663,664,778,687,643,595,640,568,598,597,600,631,673
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)",127,152,167,"(D)",186,196,167,161,167,"(D)",182,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",29,60,37,31,16,19,27,37,39,42,39,"(D)",49,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",370,316,337,386,431,391,368,386,340,371,354,"(D)",374,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)",163,210,73,"(D)",14,21,22,25,37,"(D)",27,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",3536,3856,4038,3957,4313,4251,3774,3989,3920,4359,4689,4798,4910,5145
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",713,843,868,801,798,868,812,706,748,727,748,743,831,894
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",294,423,457,350,355,409,382,393,378,374,411,"(D)",488,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",117,114,102,107,116,134,94,38,100,99,91,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",290,292,293,331,315,316,328,266,259,249,243,"(D)",227,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",11,14,16,14,12,9,7,8,12,6,4,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",2823,3014,3170,3155,3515,3383,2962,3283,3173,3632,3941,4054,4079,4251
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",2538,2878,3051,"(D)",3378,3240,2839,3161,3069,3523,3837,"(D)",3963,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",285,135,119,"(D)",137,143,123,122,104,108,104,"(D)",116,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",1750,1679,1693,1821,1958,2072,2236,2348,2040,2227,2166,1956,2099,2237
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",895,940,992,1048,1282,1379,1496,1628,1362,1506,1450,1179,1221,1267
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",362,253,159,149,136,131,154,170,168,180,163,214,259,302
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",492,487,541,624,541,561,585,550,509,541,553,563,618,668
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",442,432,479,564,480,505,522,490,454,472,493,"(D)",546,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",51,55,62,60,60,56,63,60,56,69,60,"(D)",73,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",1177,1311,1342,1432,1506,1586,1683,1793,1850,1926,2018,2110,2202,2316
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",82,90,92,98,100,103,107,112,115,118,113,126,117,124
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",1095,1222,1250,1334,1406,1483,1575,1681,1735,1808,1906,1984,2084,2192
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",606,682,612,642,668,694,731,767,773,1070,1134,"(D)",1204,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities",395,444,535,590,637,684,732,790,824,584,609,634,649,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",93,96,104,102,101,105,112,124,139,154,162,"(D)",231,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",569,690,725,771,812,837,857,827,779,812,865,928,979,1056
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",105,149,163,186,188,199,190,174,176,182,192,202,219,219
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",44,75,85,97,102,113,104,88,84,84,97,"(D)",114,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",61,74,78,89,87,85,86,86,92,97,95,"(D)",105,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",464,541,562,585,624,638,667,653,602,631,673,727,761,837
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",130,163,167,170,195,199,220,213,173,184,209,"(D)",234,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",334,378,395,415,429,439,447,440,429,447,464,"(D)",527,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",525,586,582,606,635,651,642,602,586,587,594,620,655,664
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1793,1912,1979,2056,2131,2225,2345,2415,2405,2370,2433,2402,2419,2505
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",175,177,178,181,191,193,201,199,193,212,197,193,181,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",79,89,108,121,130,130,134,139,155,145,146,152,147,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1539,1646,1693,1754,1811,1902,2010,2077,2057,2013,2090,2056,2091,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",411,401,299,348,464,377,398,303,360,318,301,483,567,513
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",2115,2215,2292,2451,2682,2813,2837,2799,2548,2667,2823,3018,3188,3466
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",388,430,431,459,461,520,610,641,611,656,699,655,717,767
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",4246,4185,4227,4296,4710,4765,4785,4468,4346,4067,4292,4435,4783,4973
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",10653,11432,11766,12275,13054,13373,13232,13639,12903,13832,14452,14685,15380,16325
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",101.493,104.823,105.849,107.140,111.464,111.128,108.009,106.928,100.000,102.413,105.756,104.825,107.792,111.380
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",101.584,104.950,106.176,107.782,112.732,112.330,108.634,107.465,100.000,103.333,107.048,106.387,109.902,113.775
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",107.373,109.921,76.076,76.983,121.747,95.021,78.133,54.193,100.000,76.904,55.976,"(D)",97.502,89.727
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",121.524,124.518,77.138,76.614,132.520,91.329,71.689,43.137,100.000,66.357,37.570,79.449,77.639,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",62.451,63.616,70.716,76.486,82.580,100.208,93.417,88.820,100.000,107.309,115.242,"(D)",151.904,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",360.980,423.266,221.929,217.684,200.968,194.983,199.417,145.854,100.000,80.334,93.526,"(D)",205.911,174.924
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)",204.535,158.392,100.000,97.071,130.214,150.272,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",71.053,86.419,82.026,79.649,74.716,"(D)",105.003,115.063,100.000,107.434,104.279,"(D)",98.053,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",156.799,150.085,154.211,166.308,168.762,162.093,152.504,126.641,100.000,92.093,92.122,95.999,101.914,100.831
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",87.667,86.591,92.037,89.486,94.283,99.180,101.379,102.695,100.000,97.414,107.238,98.206,101.983,107.180
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",96.746,93.217,96.544,92.781,98.917,97.128,96.196,"(D)",100.000,99.388,116.889,98.213,105.081,103.307
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing",120.722,111.239,119.646,109.828,127.387,122.487,139.056,133.940,100.000,97.300,136.921,"(D)",104.943,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",188.139,175.590,186.299,203.106,211.352,184.594,148.700,135.141,100.000,107.911,80.298,"(D)",80.729,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products",111.836,102.846,90.017,92.793,95.472,98.332,115.372,119.197,100.000,109.071,131.134,"(D)",124.538,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","18","333","    Machinery manufacturing",96.042,73.241,79.279,112.683,158.658,143.922,147.028,141.866,100.000,110.854,126.596,"(D)",111.853,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing",77.910,84.912,91.817,77.235,87.942,86.299,84.287,103.100,100.000,102.988,144.048,"(D)",114.231,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",106.770,33.129,69.599,113.990,109.082,111.496,125.206,127.812,100.000,114.698,118.263,"(D)",64.778,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","23","337","    Furniture and related products manufacturing",81.505,85.856,106.767,109.547,130.457,148.024,132.394,121.251,100.000,100.621,101.684,"(D)",112.698,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","24","339","    Miscellaneous manufacturing",116.372,96.589,88.067,88.314,72.900,73.942,74.591,78.190,100.000,88.841,83.890,"(D)",94.377,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","25","...","   Nondurable goods manufacturing",74.797,77.406,85.863,84.973,87.985,101.349,107.391,"(D)",100.000,95.421,97.564,97.825,98.709,110.399
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing",72.180,74.982,83.878,81.628,87.268,102.642,106.002,98.087,100.000,94.150,92.799,93.688,90.924,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","27","313-314","    Textile mills and textile product mills",204.364,173.853,166.496,218.519,124.209,121.455,91.831,92.786,100.000,198.853,106.974,130.760,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",46.399,100.000,"(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","30","323","    Printing and related support activities",107.793,114.503,105.546,103.403,103.952,102.589,117.436,105.986,100.000,101.626,102.944,"(D)",109.752,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","32","325","    Chemical products manufacturing",95.765,87.702,113.808,145.301,87.186,108.168,105.613,106.305,100.000,116.390,181.156,"(D)",180.694,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","33","326","    Plastics and rubber products manufacturing",75.262,82.491,88.483,78.057,71.369,89.106,99.568,96.176,100.000,90.192,86.874,"(D)",64.262,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","34","42","  Wholesale trade",79.781,84.219,89.063,98.140,114.618,119.990,124.793,124.172,100.000,105.668,112.135,117.174,119.500,132.198
