"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing",2,"(L)",1,"(D)","(D)","(D)","(L)","(L)","(L)","(D)","(L)","(L)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6,6,7,"(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)",25,24,24,25,24,26,25,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)",6,7,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",7,10,12,14,"(D)","(D)","(D)","(D)",31,47,59,51,52,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing",34,31,30,31,30,31,31,30,"(D)","(D)","(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",514,492,513,576,655,715,741,786,775,816,"(D)",881,962,1004
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",703,735,780,798,856,874,897,878,903,942,988,1056,1202,1282
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",327,338
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)",7,"(D)",9,10,11,10,"(D)","(D)",13,15,14,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",24,25,26,29,35,44,43,48,38,42,46,55,55,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)",2,3,2,1,1,"(L)","(L)","(L)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)",90,"(D)",89,103,"(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",17,18,18,19,19,19,19,20,19,19,"(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)",20,23,"(D)","(D)","(D)","(D)",34,"(D)","(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",11,16,15,22,21,22,28,24,31,36,34,33,38,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",532,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)",30,8,5,6,5,5,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",866,975,1026,1036,1077,1172,1276,1436,1509,1415,1233,1465,1605,1704
