"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing",2,"(D)","(D)",3,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing",42,49,52,61,67,66,58,61,87,77,95,93,80,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",64,67,57,83,87,129,84,78,65,62,65,65,72,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing",28,7,"(D)","(D)",78,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",28,25,"(D)",41,"(D)",48,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",407,393,399,476,541,600,"(D)",705,686,795,868,881,1111,999
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",789,805,850,920,997,1139,1196,1201,1170,1165,1242,1345,1366,1485
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",102,133,147,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(L)",2,"(D)","(D)",5,12,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",15,15,16,18,20,23,25,26,22,22,24,28,27,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation","(D)","(D)",78,83,88,98,96,77,69,69,76,79,81,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",9,35,13,14,15,18,16,14,18,16,17,18,19,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)",25,"(D)","(D)","(D)","(D)","(D)",31,33,"(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",11,15,7,7,7,7,11,11,18,47,31,24,21,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",744,827,955,1126,1273,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)",498,583,634,720,809,"(D)","(D)","(D)","(D)","(D)","(D)",997,"(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",73,22,33,31,24,27,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",280,"(D)","(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)",283,344,375,478,526,326,351,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing","(D)",1393,1567,1520,1671,2025,2475,2187,2107,2010,1970,2567,2792,2815
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",516,590,"(D)","(D)",729,887,1047,778,631,679,656,1006,1102,1031
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services","(D)","(D)",476,517,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",746,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",62,49,54,57,56,52,29,8,58,67,"(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)",117,96,98,97,"(D)","(D)","(D)","(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",3,17,22,22,23,20,"(D)","(D)","(D)","(D)","(D)","(D)",161,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing","(D)",804,"(D)","(D)",942,1138,1428,1409,1476,1331,1314,1561,1690,1784
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",392,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1034,968,1069,1135,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",297,346,492,555,"(NA)"
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",822,957,1095,1208,1315,1536,1661,1871,1764,1701,1857,1961,2136,2287
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",528,667,"(D)","(D)","(D)","(D)","(D)",1272,1210,1153,1277,1326,1473,1631
"39340","Provo-Orem, UT (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)",58,79,84,127,97,"(D)","(D)",95,87,87,94,"(D)"
