"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",10933,11091,11937,12699,13917,14488,15072,15773,15729,16155,16088,15944,16473,16891
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",9869,9963,10720,11346,12443,12918,13379,13971,13820,14162,14122,14027,14539,14946
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",56,31,119,"(D)",86,62,79,108,96,97,104,123,101,106
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",50,25,114,112,81,55,73,102,91,90,98,117,94,"(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",6,6,6,"(D)",6,7,6,6,5,6,6,7,7,"(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",44,37,46,"(D)",65,78,108,107,102,109,110,89,98,69
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",1,1,1,"(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)",63,"(D)","(D)",104,"(D)","(D)","(D)","(D)","(D)","(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)",1,"(D)","(D)",4,"(D)","(D)","(D)","(D)","(D)","(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",541,533,710,749,706,656,740,677,687,734,731,689,679,725
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",602,610,636,722,822,861,900,841,738,747,778,804,823,851
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",3129,3171,3241,3313,3719,3776,3596,3847,3729,3705,3598,3497,3653,3667
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",1842,1770,1791,1935,2360,2258,2076,2366,2088,2014,2029,1905,2029,2032
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",27,28,26,31,36,28,25,22,18,18,21,22,23,"(NA)"
"49620","York-Hanover, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",159,158,146,147,232,130,78,81,62,"(D)","(D)","(D)",67,"(NA)"
