"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)",9617,9479,9255,"(D)",9221,10282,9685,9858,10111
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3371,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)",826,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",51,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",521,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",70,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2780,3130,2928,"(D)","(D)","(D)","(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",920,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade","(D)","(D)","(D)","(D)",7250,7834,8301,8399,7769,8132,8501,9043,9396,"(D)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",4542,4558,4779,4998,5420,5693,5987,5997,5929,6256,6303,6691,7189,7494
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4183,4443
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1540,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",51,50,56,59,65,68,70,74,71,72,79,89,90,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)","(D)",137,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",1004,1004,992,1073,1135,1208,1180,1157,1020,1028,1082,1049,1099,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",158,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",10,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",373,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information","(D)",3622,3920,4537,4776,4891,4983,5659,5228,5156,4971,4981,5196,5979
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",707,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",279,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3049,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1160,"(NA)"
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",18707,23189,24300,26434,31358,33120,28737,30126,27767,29755,35057,35313,39572,40459
