"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills",19,26,23,"(D)","(D)","(D)","(D)","(D)",2,5,6,8,4,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing",1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",1,2,2,2,3,3,3,2,2,3,2,2,2,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",32,13,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",94,"(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",141,140,151,155,166,181,181,210,203,175,169,182,198,200
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",296,305,320,359,390,415,451,431,394,383,402,423,440,465
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",55,66,78,96,96,113,112,117,105,105,102,100,105,103
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)",1,1,1,1,3,4,4,1,"(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",11,10,12,14,17,21,22,26,20,20,20,23,23,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",14,25,29,35,39,47,47,43,40,41,39,38,42,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",7,4,4,6,8,11,10,10,8,7,7,7,"(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)",18,21,20,23,23,21,19,18,20,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",7,7,6,11,13,12,11,14,12,12,12,13,12,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",52,86,107,130,133,60,74,76,65,72,68,70,71,70
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",14,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",2,3,"(D)","(D)","(L)","(D)","(D)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)",28,44,49,46,58,"(D)","(D)",50,45,47,48,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,1,"(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",293,348,397,406,435,521,585,568,626,520,404,371,421,396
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",55,56,63,69,77,63,73,69,67,70,72,98,131,124
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",34,34,42,40,53,39,48,45,41,38,40,44,49,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,3,5,6,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",18,"(D)","(D)",28,22,22,25,24,24,30,29,49,76,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",239,292,334,336,359,459,512,499,559,450,333,273,290,273
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",85,135,156,135,163,196,246,215,297,234,161,151,150,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",154,158,178,201,196,263,266,284,263,215,171,122,139,"(NA)"
