"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)",1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",8,6,7,7,6,6,7,2,2,2,7,8,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing",97,114,96,103,107,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",35,"(D)",35,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(L)","(L)",1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",29,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",54,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",291,300,343,392,436,470,495,533,511,519,523,580,592,623
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",507,529,574,587,640,659,650,641,646,656,659,675,667,688
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",340,334,361,405,445,495,518,544,463,509,507,519,539,586
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation",2,1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",43,42,45,47,54,64,61,76,67,76,81,86,97,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",226,223,233,264,292,326,334,336,297,330,323,"(D)",332,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",2,1,"(D)","(D)","(D)","(D)","(D)","(D)",1,1,1,"(D)",2,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",41,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",28,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",167,"(D)","(D)",206,217,214,192,241,212,266,297,364,397,408
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",24,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",20,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",306,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",47,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",770,811,857,821,909,953,975,1103,1153,1147,1222,1422,1450,1399
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",224,237,247,233,254,255,277,285,263,264,288,277,292,294
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",148,163,162,143,153,153,172,179,156,157,166,"(D)",187,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)",63,65,"(D)",75,77,79,70,65,70,"(D)",79,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",546,574,610,588,655,698,697,819,891,883,933,1145,1158,1105
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",737,"(D)",947,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",196,"(D)",211,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",692,647,638,705,812,891,823,843,751,764,772,"(D)",835,"(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)",326,346,349,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",328,336
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",287,"(D)","(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)",147,147,164,185,"(D)",228,236,204,233,236,"(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",569,599,610,626,647,690,"(D)","(D)","(D)","(D)","(D)",890,901,933
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",12,"(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",889,"(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",267,277,"(D)","(D)","(D)",343,369,396,410,414,"(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",34,"(D)","(D)","(D)",41,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",80,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",160,171,175,187,195,205,219,227,231,228,232,246,248,255
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",18,19,19,21,21,23,"(D)",24,25,"(D)",19,21,23,25
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",17,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",142,152,156,166,175,182,"(D)",203,206,"(D)",213,225,225,231
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)",20,21,24,28,28,"(D)",34,"(D)","(D)",30,"(D)",36,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)",132,134,142,147,154,161,169,"(D)",179,183,"(D)",189,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",168,"(D)","(D)",180,186,195,193,191,193,197,198,209,211,207
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",667,695,763,810,895,952,1014,1049,1097,1190,1197,1196,1210,1219
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",108,108,124,124,129,133,143,142,149,162,161,156,147,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",24,30,43,45,58,54,55,57,63,58,55,55,54,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",535,557,596,641,708,765,816,850,885,970,982,986,1009,"(NA)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",282,254,"(D)",390,491,678,"(D)","(D)","(D)","(D)","(D)","(D)",830,"(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",798,829,917,979,1076,1129,1146,1175,1157,1175,1182,1255,1258,1311
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",450,433,472,525,565,633,652,680,610,671,681,681,704,755
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",2330,2517,"(D)",2935,3215,3575,"(D)","(D)","(D)","(D)","(D)","(D)",2889,"(D)"
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",3773,3839,"(D)",4228,4607,4912,"(D)","(D)","(D)","(D)","(D)","(D)",6004,"(D)"
