"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",15313,15899,16237,17199,17998,18602,18657,17969,16344,17236,18892,20364,20436,21007
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",13582,14112,14379,15243,15991,16536,16532,15786,14109,14910,16587,18086,18163,18717
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)",32,"(D)","(D)","(D)",42,56,38,29,49,85,"(D)",81,98
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",29,25,34,45,34,32,47,29,19,39,76,71,71,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)",8,"(D)","(D)","(D)",10,9,9,10,10,9,"(D)",10,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)",55,"(D)","(D)","(D)",120,152,144,122,141,158,"(D)",220,257
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)",20,21,"(D)","(D)","(D)",28,27,"(D)","(D)","(D)","(D)","(D)","(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",34,37,35,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)",269,264,258,228,226,259,259,274,277,294,366,348,359
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",628,581,607,656,682,674,694,618,568,563,610,681,710,678
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",3837,3998,3911,4462,4708,4948,4689,3979,2521,3375,4366,4224,3820,4068
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",3300,3480,"(D)",3928,4142,4364,4106,3443,1876,2566,3355,3314,3155,3402
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",66,68,55,65,68,59,60,59,51,53,54,50,54,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",75,78,75,80,83,77,92,89,72,69,"(D)",70,74,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",1159,1167,1075,1467,1730,1984,1949,1475,607,919,1185,1121,1097,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",470,451,443,495,540,591,547,545,404,436,508,537,505,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",159,154,164,165,172,259,291,295,265,253,323,311,333,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",149,141,147,134,124,157,156,164,145,139,130,128,103,"(NA)"
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)",1255,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",818,"(NA)"
