"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",7822,8486,9398,9962,10342,10689,11085,9704,7945,10143,10236,11347,12166,12987
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",7439,8089,8978,9517,9879,10120,10576,9167,7394,9597,9688,10792,11606,12422
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)",85,61,63,75,68,"(D)",69,101,88,128,"(D)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",35,54,63,74,49,49,62,58,37,60,95,81,121,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)",11,12,14,13,9,"(D)",9,6,7,6,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)",4,4,5,6,7,"(D)",8,8,7,8,"(D)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",45,41,40,43,46,49,"(D)",47,"(D)",58,61,56,65,68
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",267,258,277,329,337,337,332,315,268,253,252,273,239,250
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",3923,4609,5246,5439,5589,5675,6060,4685,3290,5414,5359,6220,6753,7332
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",3069,3674,4384,4546,4757,4818,4990,3601,2121,4270,4229,4820,5260,5716
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",315,300,316,333,405,319,270,221,173,134,132,148,131,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",42,46,51,48,52,51,48,32,30,30,33,41,52,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",71,93,76,100,77,59,104,122,49,90,90,115,146,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",427,463,508,539,558,532,544,466,339,419,485,554,596,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",110,94,83,109,119,117,130,128,110,122,113,123,143,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",93,105,104,117,158,153,132,107,111,102,80,96,104,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",20,22,24,22,22,28,26,22,13,14,16,16,19,"(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)",2765,"(D)","(D)","(D)","(D)",2886,2795,3239,"(D)","(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)",135,"(D)","(D)","(D)","(D)",99,114,126,"(D)","(NA)"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",222,248,242,225,253,277,249,195,172,206,207,243,287,"(NA)"
