"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3476,3424,3380,3558,3622,3780,3730,3680,3553,3580,3795,3990,4098,4094
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",3051,2984,2923,3082,3153,3310,3242,3173,3035,3052,3282,3471,3578,3570
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)",44,48,72,"(D)","(D)","(D)",73,83,74,85,"(D)",95,71
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",33,42,46,69,65,85,74,70,77,70,81,85,90,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)",2,2,2,"(D)","(D)","(D)",4,6,4,5,"(D)",5,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",3,3,4,4,6,7,7,7,9,9,9,8,12,16
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",3,3,4,"(D)","(D)","(D)","(D)","(D)",6,6,6,4,3,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)",2,4,4,5,9,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)",47,40,38,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",124,123,130,143,143,134,124,105,100,90,95,101,112,105
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",1048,885,739,784,787,799,712,665,528,601,698,763,743,697
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",936,769,616,648,649,658,558,527,353,430,507,548,514,518
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",7,8,9,13,15,15,10,19,18,23,24,23,21,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",4,5,4,5,4,4,4,4,3,3,4,3,2,"(NA)"
"44220","Springfield, OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",12,8,"(D)",5,6,5,6,7,2,4,5,5,7,"(NA)"
