"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",10481,10535,11626,11736,13214,13906,15018,16020,15270,15577,15850,17504,16044,15841
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",8009,7878,8748,8732,10132,10910,11796,12489,11640,11928,12169,13808,12402,12213
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",29
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",4,5,4,4,2,2,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",45
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)",2,3,6,8,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",27,"(NA)"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)",537,560,590,554,553,573,615,639,698,639,666
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",527,500,469,427,598,819,917,1013,987,1021,"(D)",836,1024,807
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",1351,1325,1985,1820,2729,3319,3377,3697,"(D)",2969,3194,4618,2815,2942
